run,arm,env,seed,picked,leaves,depth,episodes,collect_seed,orac_fid,orac_wfid,orac_n,orac_surv,tree_fid,tree_wfid,tree_n,tree_surv,secs
bus14_dtpo-full_L16_s100,dtpo-full,bus14,100,iter=27,16,7,10,12345,0.4108,0.5345,53570,0.6643,0.0412,0.0240,76206,0.9450,119
bus14_dtpo-full_L16_s101,dtpo-full,bus14,101,iter=144,16,6,10,12345,0.4401,0.5045,59346,0.7359,0.2778,0.3168,46098,0.5717,98
bus14_dtpo-full_L16_s102,dtpo-full,bus14,102,iter=70,16,6,10,12345,0.4022,0.4974,52641,0.6528,0.0332,0.0282,51208,0.6350,95
bus14_dtpo-full_L16_s103,dtpo-full,bus14,103,iter=96,16,6,10,12345,0.3959,0.4796,70321,0.8720,0.3101,0.2796,26294,0.3261,90
bus14_dtpo-full_L16_s104,dtpo-full,bus14,104,iter=74,16,5,10,12345,0.3511,0.4256,59779,0.7413,0.5418,0.5594,13186,0.1635,68
bus14_dtpo-full_L16_s105,dtpo-full,bus14,105,iter=76,16,6,10,12345,0.4599,0.5381,71596,0.8878,0.1516,0.4155,50767,0.6296,110
bus14_dtpo-full_L16_s106,dtpo-full,bus14,106,iter=139,16,5,10,12345,0.4289,0.5041,64055,0.7943,0.3924,0.5893,69747,0.8649,122
bus14_dtpo-full_L16_s107,dtpo-full,bus14,107,iter=129,16,8,10,12345,0.5052,0.6135,37560,0.4658,0.1113,0.1579,55167,0.6841,85
bus14_dtpo-full_L16_s108,dtpo-full,bus14,108,iter=117,16,9,10,12345,0.4306,0.4955,73379,0.9100,0.2740,0.2111,65575,0.8132,127
bus14_dtpo-full_L16_s109,dtpo-full,bus14,109,iter=134,16,6,10,12345,0.3229,0.3633,62658,0.7770,0.0591,0.0249,43951,0.5450,97
bus14_dtpo-replay_L16_s100,dtpo-replay,bus14,100,iter=89,16,7,10,12345,0.4257,0.5836,53570,0.6643,0.0040,0.0130,79719,0.9886,118
bus14_dtpo-replay_L16_s101,dtpo-replay,bus14,101,iter=67,16,5,10,12345,0.3422,0.2819,59346,0.7359,0.2189,0.2359,12796,0.1587,67
bus14_dtpo-replay_L16_s102,dtpo-replay,bus14,102,iter=130,16,7,10,12345,0.4179,0.4815,52641,0.6528,0.0282,0.0217,58697,0.7279,102
bus14_dtpo-replay_L16_s103,dtpo-replay,bus14,103,iter=78,16,8,10,12345,0.3154,0.2576,70321,0.8720,0.0838,0.0574,25681,0.3185,89
bus14_dtpo-replay_L16_s104,dtpo-replay,bus14,104,iter=112,16,5,10,12345,0.2840,0.3177,59779,0.7413,0.4055,0.3843,32546,0.4036,86
bus14_dtpo-replay_L16_s105,dtpo-replay,bus14,105,iter=16,16,6,10,12345,0.5019,0.5848,71596,0.8878,0.1489,0.4073,50767,0.6296,112
bus14_dtpo-replay_L16_s106,dtpo-replay,bus14,106,iter=50,16,5,10,12345,0.3871,0.4540,64055,0.7943,0.2468,0.3628,73264,0.9085,124
bus14_dtpo-replay_L16_s107,dtpo-replay,bus14,107,iter=138,16,7,10,12345,0.3930,0.4091,37560,0.4658,0.3115,0.3199,32172,0.3990,65
bus14_dtpo-replay_L16_s108,dtpo-replay,bus14,108,iter=97,16,8,10,12345,0.3756,0.3703,73379,0.9100,0.2628,0.2322,68949,0.8550,132
bus14_dtpo-replay_L16_s109,dtpo-replay,bus14,109,iter=130,16,8,10,12345,0.2557,0.1911,62658,0.7770,0.0896,0.1373,48154,0.5971,101
bus14_dtpo-ws_L16_s100,dtpo-ws,bus14,100,iter=3,16,5,10,12345,0.5328,0.7048,53570,0.6643,0.0654,0.0427,64166,0.7957,111
bus14_dtpo-ws_L16_s101,dtpo-ws,bus14,101,iter=78,16,8,10,12345,0.3602,0.3710,59346,0.7359,0.2195,0.2394,12999,0.1612,67
bus14_dtpo-ws_L16_s102,dtpo-ws,bus14,102,iter=16,16,6,10,12345,0.3910,0.4669,52641,0.6528,0.0115,0.0093,55865,0.6928,98
bus14_dtpo-ws_L16_s103,dtpo-ws,bus14,103,iter=4,16,6,10,12345,0.5032,0.5642,70321,0.8720,0.3472,0.2474,20474,0.2539,84
bus14_dtpo-ws_L16_s104,dtpo-ws,bus14,104,iter=83,16,5,10,12345,0.3204,0.4008,59779,0.7413,0.4510,0.4143,22574,0.2799,76
bus14_dtpo-ws_L16_s105,dtpo-ws,bus14,105,iter=28,16,6,10,12345,0.3868,0.4700,71596,0.8878,0.0448,0.1187,50767,0.6296,111
bus14_dtpo-ws_L16_s106,dtpo-ws,bus14,106,iter=124,16,5,10,12345,0.3838,0.4107,64055,0.7943,0.2264,0.2974,68162,0.8453,120
bus14_dtpo-ws_L16_s107,dtpo-ws,bus14,107,iter=108,16,7,10,12345,0.3656,0.3620,37560,0.4658,0.3084,0.4633,32354,0.4012,65
bus14_dtpo-ws_L16_s108,dtpo-ws,bus14,108,iter=19,16,7,10,12345,0.4119,0.4129,73379,0.9100,0.1349,0.1203,47684,0.5913,111
bus14_dtpo-ws_L16_s109,dtpo-ws,bus14,109,iter=120,16,6,10,12345,0.2921,0.3583,62658,0.7770,0.0123,0.0083,43666,0.5415,98
bus14_dtpo-scratchgate_L16_s100,dtpo-scratchgate,bus14,100,iter=144,16,8,10,12345,0.2710,0.1528,53570,0.6643,0.0648,0.1673,19153,0.2375,69
bus14_dtpo-scratchgate_L16_s101,dtpo-scratchgate,bus14,101,iter=19,16,12,10,12345,0.3324,0.3913,59346,0.7359,0.2847,0.3679,18575,0.2303,73
