name,status,envtag,method,leaves_budget,seed,alg,env,difficulty,leaves_actual,depth,select,report,report_min,report_max,frac100,n_report,bigjumps,candjumps,indist_select,indist_report,indist_frac100
bus14-d1_dtpo-scratchfull_L16_s100,ok,bus14-d1,dtpo-scratchfull,16,100,DTPO,bus14,1,16,11,29.41,27.37,2.75,100.00,5.0,40,0,28,40.50,36.99,5.0
bus14-d1_dtpo-scratchfull_L16_s101,ok,bus14-d1,dtpo-scratchfull,16,101,DTPO,bus14,1,16,8,44.56,47.38,6.32,100.00,10.0,40,0,23,49.78,38.34,12.5
bus14-d1_dtpo-scratchfull_L16_s102,ok,bus14-d1,dtpo-scratchfull,16,102,DTPO,bus14,1,16,6,27.73,21.74,6.30,88.69,0.0,40,1,4,29.88,34.12,10.0
bus14-d1_dtpo-scratchfull_L16_s103,ok,bus14-d1,dtpo-scratchfull,16,103,DTPO,bus14,1,16,12,26.58,28.23,6.32,81.45,0.0,40,0,19,29.04,34.32,0.0
bus14-d1_dtpo-scratchfull_L16_s104,ok,bus14-d1,dtpo-scratchfull,16,104,DTPO,bus14,1,16,10,21.20,21.74,5.37,83.31,0.0,40,0,0,31.51,25.89,0.0
bus14-d1_dtpo_L16_s100,ok,bus14-d1,dtpo,16,100,DTPO,bus14,1,16,6,35.02,25.69,6.31,100.00,2.5,40,0,0,32.76,44.46,7.5
bus14-d1_dtpo_L16_s101,ok,bus14-d1,dtpo,16,101,DTPO,bus14,1,16,9,34.52,44.40,4.68,100.00,32.5,40,2,0,41.64,30.14,22.5
bus14-d1_dtpo_L16_s102,ok,bus14-d1,dtpo,16,102,DTPO,bus14,1,16,8,10.07,3.80,0.04,34.57,0.0,40,0,0,4.88,4.77,0.0
bus14-d1_dtpo_L16_s103,ok,bus14-d1,dtpo,16,103,DTPO,bus14,1,16,6,63.38,56.63,6.32,100.00,30.0,40,15,0,58.79,49.18,17.5
bus14-d1_dtpo_L16_s104,ok,bus14-d1,dtpo,16,104,DTPO,bus14,1,16,6,34.11,34.51,0.06,100.00,2.5,40,5,0,40.74,40.36,5.0
bus14_dagger_s100,ok,bus14,dagger,,100,DAGGER,bus14,0,NA,NA,54.58,38.48,0.06,100.00,27.5,40,5,0,36.59,45.05,27.5
bus14_dagger_s101,ok,bus14,dagger,,101,DAGGER,bus14,0,NA,NA,37.24,43.42,0.05,100.00,27.5,40,6,0,44.27,36.69,17.5
bus14_dagger_s102,ok,bus14,dagger,,102,DAGGER,bus14,0,NA,NA,47.38,33.43,0.04,100.00,15.0,40,8,0,42.41,44.14,30.0
bus14_dagger_s103,ok,bus14,dagger,,103,DAGGER,bus14,0,NA,NA,69.89,67.69,0.09,100.00,47.5,40,6,0,55.93,63.16,42.5
bus14_dagger_s104,ok,bus14,dagger,,104,DAGGER,bus14,0,NA,NA,45.30,46.42,0.04,100.00,25.0,40,4,0,56.08,38.23,10.0
bus14_dagger_s105,ok,bus14,dagger,,105,DAGGER,bus14,0,NA,NA,57.38,53.61,0.99,100.00,37.5,40,7,0,50.18,50.39,30.0
bus14_dagger_s106,ok,bus14,dagger,,106,DAGGER,bus14,0,NA,NA,47.41,60.32,0.21,100.00,37.5,40,6,0,43.82,36.79,25.0
bus14_dagger_s107,ok,bus14,dagger,,107,DAGGER,bus14,0,NA,NA,29.13,21.74,0.04,100.00,7.5,40,6,0,19.11,30.57,15.0
bus14_dagger_s108,ok,bus14,dagger,,108,DAGGER,bus14,0,NA,NA,32.63,26.30,0.04,100.00,15.0,40,5,0,34.40,28.62,22.5
bus14_dagger_s109,ok,bus14,dagger,,109,DAGGER,bus14,0,NA,NA,51.48,57.20,0.20,100.00,35.0,40,5,0,52.45,54.59,30.0
bus14_daggertree-v1repro_L16_s100,ok,bus14,daggertree-v1repro,16,100,DTPO,bus14,0,16,9,47.29,47.29,1.70,48.46,0.0,40,0,0,47.29,47.29,0.0
bus14_daggertree-v1repro_L16_s101,ok,bus14,daggertree-v1repro,16,101,DTPO,bus14,0,16,9,47.29,47.29,1.70,48.46,0.0,40,0,0,47.29,47.29,0.0
bus14_daggertree-v1repro_L16_s102,ok,bus14,daggertree-v1repro,16,102,DTPO,bus14,0,16,9,47.29,47.29,1.70,48.46,0.0,40,0,0,47.29,47.29,0.0
bus14_daggertree-v1repro_L16_s103,ok,bus14,daggertree-v1repro,16,103,DTPO,bus14,0,16,9,47.29,47.29,1.70,48.46,0.0,40,0,0,47.29,47.29,0.0
bus14_daggertree-v1repro_L16_s104,ok,bus14,daggertree-v1repro,16,104,DTPO,bus14,0,16,9,47.29,47.29,1.70,48.46,0.0,40,0,0,47.29,47.29,0.0
bus14_daggertree_L16_s100,ok,bus14,daggertree,16,100,DTPO,bus14,0,16,9,11.95,9.58,0.14,56.27,0.0,40,0,0,15.18,15.73,5.0
bus14_daggertree_L16_s101,ok,bus14,daggertree,16,101,DTPO,bus14,0,16,6,9.65,6.30,1.97,31.39,0.0,40,0,0,7.43,5.79,0.0
bus14_daggertree_L16_s102,ok,bus14,daggertree,16,102,DTPO,bus14,0,16,8,42.93,32.68,0.04,100.00,12.5,40,0,0,41.59,32.24,7.5
bus14_daggertree_L16_s103,ok,bus14,daggertree,16,103,DTPO,bus14,0,16,8,52.16,49.71,6.34,100.00,15.0,40,0,0,50.46,48.37,12.5
bus14_daggertree_L16_s104,ok,bus14,daggertree,16,104,DTPO,bus14,0,16,8,44.78,40.34,0.04,100.00,17.5,40,0,0,43.29,43.60,12.5
bus14_daggertree_L16_s105,ok,bus14,daggertree,16,105,DTPO,bus14,0,16,8,44.17,36.67,0.04,100.00,20.0,40,0,0,40.20,53.62,27.5
bus14_daggertree_L16_s106,ok,bus14,daggertree,16,106,DTPO,bus14,0,16,8,0.06,3.43,0.04,100.00,2.5,40,0,0,0.06,1.33,0.0
bus14_daggertree_L16_s107,ok,bus14,daggertree,16,107,DTPO,bus14,0,16,9,21.34,17.45,2.89,62.48,0.0,40,0,0,16.20,19.60,0.0
bus14_daggertree_L16_s108,ok,bus14,daggertree,16,108,DTPO,bus14,0,16,8,1.76,1.97,0.04,4.82,0.0,40,0,0,1.50,1.58,0.0
bus14_daggertree_L16_s109,ok,bus14,daggertree,16,109,DTPO,bus14,0,16,8,9.53,9.08,1.97,20.72,0.0,40,0,0,10.19,11.08,0.0
bus14_daggertree_L32_s100,ok,bus14,daggertree,32,100,DTPO,bus14,0,32,10,56.48,48.15,3.35,100.00,25.0,40,0,0,45.48,51.49,27.5
bus14_daggertree_L32_s101,ok,bus14,daggertree,32,101,DTPO,bus14,0,32,9,16.90,26.42,0.14,100.00,10.0,40,0,0,20.34,12.32,2.5
bus14_daggertree_L32_s102,ok,bus14,daggertree,32,102,DTPO,bus14,0,32,9,40.00,32.98,0.04,100.00,12.5,40,0,0,45.59,41.34,20.0
