[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[DTPO] gate eval on 40 training-side chronics (of 1004); overlap with the held-out pool = 0 (must be 0): ids=[0, 25, 50, 76, 102, 128, 153, 178, 205, 230, 256, 282]...
[DTPO] it=1/150 step=9999 J_new=0.2036 kept mode=full gate=accept cand=0.28% leaves=16 survival=0.28% best=0.28% std=0.6%
[DTPO] it=2/150 step=19998 J_new=0.0012 kept mode=leaf gate=accept cand=0.97% leaves=16 survival=0.97% best=0.97% std=1.3%
[DTPO] it=3/150 step=29997 J_new=0.0009 kept mode=leaf gate=revert(1) cand=0.26% leaves=16 survival=0.97% best=0.97% std=1.3%
[DTPO] it=4/150 step=39996 J_new=0.0029 kept mode=leaf gate=accept cand=0.97% leaves=16 survival=0.97% best=0.97% std=1.3%
[DTPO] it=5/150 step=49995 J_new=0.0042 kept mode=leaf gate=accept cand=1.74% leaves=16 survival=1.74% best=1.74% std=1.6%
[DTPO] it=6/150 step=59994 J_new=0.0073 kept mode=full gate=accept cand=1.77% leaves=16 survival=1.77% best=1.77% std=2.4%
[DTPO] it=7/150 step=69993 J_new=0.0086 kept mode=leaf gate=accept cand=1.77% leaves=16 survival=1.77% best=1.77% std=2.4%
[DTPO] it=8/150 step=79992 J_new=0.0081 kept mode=leaf gate=accept cand=1.77% leaves=16 survival=1.77% best=1.77% std=2.4%
[DTPO] it=9/150 step=89991 J_new=0.0083 kept mode=leaf gate=accept cand=1.77% leaves=16 survival=1.77% best=1.77% std=2.4%
[DTPO] it=10/150 step=99990 J_new=0.0082 kept mode=leaf gate=accept cand=1.77% leaves=16 survival=1.77% best=1.77% std=2.4%
[DTPO] it=11/150 step=109989 J_new=0.0081 kept mode=full gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=12/150 step=119988 J_new=0.0080 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=13/150 step=129987 J_new=0.0079 kept mode=leaf gate=revert(1) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=14/150 step=139986 J_new=0.0040 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=15/150 step=149985 J_new=0.0052 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=16/150 step=159984 J_new=0.0074 kept mode=full gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=17/150 step=169983 J_new=0.0087 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=18/150 step=179982 J_new=0.0081 kept mode=leaf gate=revert(1) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=19/150 step=189981 J_new=0.0035 kept mode=leaf gate=revert(2) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=20/150 step=199980 J_new=0.0036 kept mode=leaf gate=revert(3) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=21/150 step=209979 J_new=0.1623 kept mode=full gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=22/150 step=219978 J_new=0.0060 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=23/150 step=229977 J_new=0.0071 kept mode=leaf gate=revert(1) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=24/150 step=239976 J_new=0.0049 kept mode=leaf gate=revert(2) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=25/150 step=249975 J_new=0.0032 kept mode=leaf gate=revert(3) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=26/150 step=259974 J_new=0.0770 kept mode=full gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=27/150 step=269973 J_new=0.0066 kept mode=leaf gate=accept cand=30.62% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=28/150 step=279972 J_new=0.0078 kept mode=leaf gate=revert(1) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=29/150 step=289971 J_new=0.0040 kept mode=leaf gate=revert(2) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
[DTPO] it=30/150 step=299970 J_new=0.0037 kept mode=leaf gate=revert(3) cand=15.37% leaves=16 survival=30.62% best=30.62% std=24.6%
