[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[DTPO] gate eval on 40 training-side chronics (of 1004); overlap with the held-out pool = 0 (must be 0): ids=[0, 25, 50, 76, 102, 128, 153, 178, 205, 230, 256, 282]...
[DTPO] it=1/150 step=9999 J_new=0.0719 kept mode=full gate=accept cand=11.31% leaves=16 survival=11.31% best=11.31% std=9.5%
[DTPO] it=2/150 step=19998 J_new=0.0904 kept mode=full gate=accept cand=11.66% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=3/150 step=29997 J_new=0.0833 kept mode=full gate=revert(1) cand=8.56% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=4/150 step=39996 J_new=0.1113 kept mode=full gate=revert(2) cand=8.36% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=5/150 step=49995 J_new=0.0254 kept mode=full gate=revert(3) cand=8.87% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=6/150 step=59994 J_new=0.0421 kept mode=full gate=revert(4) cand=7.99% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=7/150 step=69993 J_new=0.0924 kept mode=full gate=revert(5) cand=8.69% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=8/150 step=79992 J_new=0.0817 kept mode=full gate=revert(6) cand=8.87% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=9/150 step=89991 J_new=0.0934 kept mode=full gate=revert(7) cand=1.13% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=10/150 step=99990 J_new=0.0604 kept mode=full gate=revert(8) cand=8.69% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=11/150 step=109989 J_new=0.1166 kept mode=full gate=revert(9) cand=7.73% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=12/150 step=119988 J_new=0.1365 kept mode=full gate=revert(10) cand=7.28% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=13/150 step=129987 J_new=0.0744 kept mode=full gate=revert(11) cand=7.87% leaves=16 survival=11.66% best=11.66% std=8.6%
[DTPO] it=14/150 step=139986 J_new=0.1053 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=15/150 step=149985 J_new=0.1226 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=16/150 step=159984 J_new=0.0097 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=17/150 step=169983 J_new=0.0162 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=18/150 step=179982 J_new=0.0096 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=19/150 step=189981 J_new=0.1797 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=20/150 step=199980 J_new=0.0248 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=21/150 step=209979 J_new=0.2196 kept mode=full gate=revert(1) cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=22/150 step=219978 J_new=0.0763 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=23/150 step=229977 J_new=0.1422 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=24/150 step=239976 J_new=0.1324 kept mode=full gate=revert(1) cand=12.84% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=25/150 step=249975 J_new=0.1250 kept mode=full gate=revert(2) cand=16.48% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=26/150 step=259974 J_new=0.0742 kept mode=full gate=revert(3) cand=9.23% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=27/150 step=269973 J_new=0.1058 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=28/150 step=279972 J_new=0.1595 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=29/150 step=289971 J_new=0.0095 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
[DTPO] it=30/150 step=299970 J_new=0.2472 kept mode=full gate=accept cand=18.15% leaves=16 survival=18.15% best=18.15% std=17.6%
