Detected IPython. Loading juliacall extension. See https://juliapy.github.io/PythonCall.jl/stable/compat/#IPython
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 753/1004 chronics (every 4th id held out for evaluation)
[DTPO] gate eval on 40 training-side chronics (of 1004); overlap with the held-out pool = 0 (must be 0): ids=[0, 25, 50, 76, 102, 128, 153, 178, 205, 230, 256, 282]...
[DTPO] it=1/150 step=9999 J_new=0.0363 kept mode=full gate=accept cand=22.17% leaves=16 survival=22.17% best=22.17% std=25.4%
[DTPO] it=2/150 step=19998 J_new=0.0904 kept mode=full gate=revert(1) cand=20.31% leaves=16 survival=22.17% best=22.17% std=25.4%
[DTPO] it=3/150 step=29997 J_new=0.0643 kept mode=full gate=revert(2) cand=18.76% leaves=16 survival=22.17% best=22.17% std=25.4%
[DTPO] it=4/150 step=39996 J_new=0.1196 kept mode=full gate=revert(3) cand=17.05% leaves=16 survival=22.17% best=22.17% std=25.4%
[DTPO] it=5/150 step=49995 J_new=0.1678 kept mode=full gate=revert(4) cand=19.77% leaves=16 survival=22.17% best=22.17% std=25.4%
[DTPO] it=6/150 step=59994 J_new=0.0262 kept mode=full gate=revert(5) cand=17.05% leaves=16 survival=22.17% best=22.17% std=25.4%
[DTPO] it=7/150 step=69993 J_new=0.0962 kept mode=full gate=accept cand=25.83% leaves=16 survival=25.83% best=25.83% std=26.7%
[DTPO] it=8/150 step=79992 J_new=0.0110 kept mode=full gate=revert(1) cand=17.10% leaves=16 survival=25.83% best=25.83% std=26.7%
[DTPO] it=9/150 step=89991 J_new=0.1035 kept mode=full gate=accept cand=41.39% leaves=16 survival=41.39% best=41.39% std=34.4%
[DTPO] it=10/150 step=99990 J_new=0.1110 kept mode=full gate=accept cand=63.10% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=11/150 step=109989 J_new=0.0820 kept mode=full gate=revert(1) cand=20.31% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=12/150 step=119988 J_new=0.0792 kept mode=full gate=revert(2) cand=2.87% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=13/150 step=129987 J_new=0.1676 kept mode=full gate=revert(3) cand=1.01% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=14/150 step=139986 J_new=0.3038 kept mode=full gate=revert(4) cand=39.57% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=15/150 step=149985 J_new=0.0880 kept mode=full gate=revert(5) cand=1.08% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=16/150 step=159984 J_new=0.1344 kept mode=full gate=revert(6) cand=11.83% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=17/150 step=169983 J_new=0.1659 kept mode=full gate=revert(7) cand=19.77% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=18/150 step=179982 J_new=0.0199 kept mode=full gate=revert(8) cand=37.61% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=19/150 step=189981 J_new=0.1746 kept mode=full gate=revert(9) cand=19.77% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=20/150 step=199980 J_new=0.2378 kept mode=full gate=revert(10) cand=19.46% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=21/150 step=209979 J_new=0.1415 kept mode=full gate=revert(11) cand=4.45% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=22/150 step=219978 J_new=0.1050 kept mode=full gate=revert(12) cand=14.09% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=23/150 step=229977 J_new=0.1302 kept mode=full gate=revert(13) cand=23.93% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=24/150 step=239976 J_new=0.1977 kept mode=full gate=revert(14) cand=19.77% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=25/150 step=249975 J_new=0.0988 kept mode=full gate=revert(15) cand=10.50% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=26/150 step=259974 J_new=0.1247 kept mode=full gate=revert(16) cand=27.59% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=27/150 step=269973 J_new=0.1412 kept mode=full gate=revert(17) cand=16.80% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=28/150 step=279972 J_new=0.1166 kept mode=full gate=revert(18) cand=33.52% leaves=16 survival=63.10% best=63.10% std=42.9%
[DTPO] it=29/150 step=289971 J_new=0.1109 kept mode=full gate=revert(19) cand=14.05% leaves=16 survival=63.10% best=63.10% std=42.9%
