Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[DTPO] deterministic eval on 40 fixed chronics (of 1004): ids=[0, 25, 51, 77, 102, 128, 154, 180, 205, 231, 257, 282, 308, 334, 360, 385, 411, 437, 462, 488, 514, 540, 565, 591, 617, 642, 668, 694, 720, 745, 771, 797, 822, 848, 874, 900, 925, 951, 977, 1003]
[DTPO] it=1/150 step=9999 J_new=0.1711 kept mode=full leaves=16 survival=8.26% best=8.26% std=3.3%
[DTPO] it=2/150 step=19998 J_new=0.4961 kept mode=full leaves=16 survival=87.46% best=87.46% std=0.0%
[DTPO] it=3/150 step=29997 J_new=0.1418 kept mode=full leaves=16 survival=4.30% best=87.46% std=2.9%
[DTPO] it=4/150 step=39996 J_new=0.4264 kept mode=full leaves=16 survival=13.57% best=87.46% std=0.0%
[DTPO] it=5/150 step=49995 J_new=0.5948 kept mode=full leaves=16 survival=2.01% best=87.46% std=3.0%
[DTPO] it=6/150 step=59994 J_new=2.2683 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=7/150 step=69993 J_new=5.0666 kept mode=full leaves=16 survival=0.05% best=87.46% std=0.0%
[DTPO] it=8/150 step=79992 J_new=0.2313 kept mode=full leaves=16 survival=13.50% best=87.46% std=0.0%
[DTPO] it=9/150 step=89991 J_new=0.1852 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=10/150 step=99990 J_new=0.1723 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=11/150 step=109989 J_new=0.1120 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=12/150 step=119988 J_new=0.4434 kept mode=full leaves=16 survival=13.31% best=87.46% std=1.4%
[DTPO] it=13/150 step=129987 J_new=0.0204 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=14/150 step=139986 J_new=0.0956 kept mode=full leaves=16 survival=1.55% best=87.46% std=0.0%
[DTPO] it=15/150 step=149985 J_new=0.0212 kept mode=full leaves=16 survival=1.55% best=87.46% std=0.0%
[DTPO] it=16/150 step=159984 J_new=0.0095 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=17/150 step=169983 J_new=0.1570 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=18/150 step=179982 J_new=0.1986 kept mode=full leaves=16 survival=13.52% best=87.46% std=0.0%
[DTPO] it=19/150 step=189981 J_new=0.0916 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=20/150 step=199980 J_new=0.2077 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=21/150 step=209979 J_new=0.2084 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=22/150 step=219978 J_new=0.2010 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=23/150 step=229977 J_new=2.2442 kept mode=full leaves=16 survival=7.93% best=87.46% std=0.3%
[DTPO] it=24/150 step=239976 J_new=0.0223 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=25/150 step=249975 J_new=0.0388 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=26/150 step=259974 J_new=0.0294 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=27/150 step=269973 J_new=0.3760 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=28/150 step=279972 J_new=0.2150 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=29/150 step=289971 J_new=3.6864 kept mode=full leaves=16 survival=2.39% best=87.46% std=0.6%
[DTPO] it=30/150 step=299970 J_new=1.3147 kept mode=full leaves=16 survival=3.21% best=87.46% std=3.0%
[DTPO] it=31/150 step=309969 J_new=0.1499 kept mode=full leaves=16 survival=1.89% best=87.46% std=0.6%
[DTPO] it=32/150 step=319968 J_new=0.0045 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=33/150 step=329967 J_new=1.7324 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=34/150 step=339966 J_new=2.1678 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=35/150 step=349965 J_new=0.0723 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=36/150 step=359964 J_new=0.0525 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=37/150 step=369963 J_new=0.0215 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=38/150 step=379962 J_new=0.0393 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=39/150 step=389961 J_new=0.1532 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=40/150 step=399960 J_new=0.8572 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=41/150 step=409959 J_new=0.0659 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=42/150 step=419958 J_new=0.5778 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=43/150 step=429957 J_new=0.0188 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=44/150 step=439956 J_new=0.0578 kept mode=full leaves=16 survival=13.53% best=87.46% std=0.0%
[DTPO] it=45/150 step=449955 J_new=0.1638 kept mode=full leaves=16 survival=13.50% best=87.46% std=0.0%
[DTPO] it=46/150 step=459954 J_new=1.4066 kept mode=full leaves=16 survival=13.49% best=87.46% std=0.0%
[DTPO] it=47/150 step=469953 J_new=0.4722 kept mode=full leaves=16 survival=13.22% best=87.46% std=0.9%
[DTPO] it=48/150 step=479952 J_new=0.0084 kept mode=full leaves=16 survival=13.33% best=87.46% std=0.7%
[DTPO] it=49/150 step=489951 J_new=0.0331 kept mode=full leaves=16 survival=13.49% best=87.46% std=0.0%
[DTPO] it=50/150 step=499950 J_new=0.0151 kept mode=full leaves=16 survival=13.56% best=87.46% std=0.0%
