Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[HYBRID] warm-start from /rds/general/user/ssl125/home/RL2Grid_full/checkpoint/final_PPO_bus14_T_0_0__I__1775940444_3936.tar: {'mode': 'soft', 'n_samples': 20000, 'n_actions': 50, 'n_leaves': 64, 'max_depth': 13, 'fidelity': 0.7861, 'weighted_fidelity': 0.9277250653231494, 'curated': False, 'dagger_rounds': 0}
[DTPO] deterministic eval on 40 fixed chronics (of 1004): ids=[0, 25, 51, 77, 102, 128, 154, 180, 205, 231, 257, 282, 308, 334, 360, 385, 411, 437, 462, 488, 514, 540, 565, 591, 617, 642, 668, 694, 720, 745, 771, 797, 822, 848, 874, 900, 925, 951, 977, 1003]
[DTPO] it=1/150 step=9999 J_new=0.0174 kept mode=full gate=accept cand=2.64% leaves=64 survival=2.64% best=2.64% std=4.8%
[DTPO] it=2/150 step=19998 J_new=0.0120 kept mode=leaf gate=accept cand=2.64% leaves=64 survival=2.64% best=2.64% std=4.8%
[DTPO] it=3/150 step=29997 J_new=0.0102 kept mode=leaf gate=accept cand=2.64% leaves=64 survival=2.64% best=2.64% std=4.8%
[DTPO] it=4/150 step=39996 J_new=0.0096 kept mode=leaf gate=accept cand=2.64% leaves=64 survival=2.64% best=2.64% std=4.8%
[DTPO] it=5/150 step=49995 J_new=0.0055 kept mode=leaf gate=accept cand=2.64% leaves=64 survival=2.64% best=2.64% std=4.8%
[DTPO] it=6/150 step=59994 J_new=0.0055 kept mode=full gate=accept cand=4.55% leaves=64 survival=4.55% best=4.55% std=4.7%
[DTPO] it=7/150 step=69993 J_new=0.0069 kept mode=leaf gate=accept cand=7.62% leaves=64 survival=7.62% best=7.62% std=3.4%
[DTPO] it=8/150 step=79992 J_new=0.0071 kept mode=leaf gate=accept cand=7.62% leaves=64 survival=7.62% best=7.62% std=3.4%
[DTPO] it=9/150 step=89991 J_new=0.0076 kept mode=leaf gate=revert(1) cand=4.91% leaves=64 survival=7.62% best=7.62% std=3.4%
[DTPO] it=10/150 step=99990 J_new=0.0054 kept mode=leaf gate=revert(2) cand=5.66% leaves=64 survival=7.62% best=7.62% std=3.4%
[DTPO] it=11/150 step=109989 J_new=0.0028 kept mode=full gate=accept cand=13.31% leaves=64 survival=13.31% best=13.31% std=3.5%
[DTPO] it=12/150 step=119988 J_new=0.0040 kept mode=leaf gate=accept cand=20.44% leaves=64 survival=20.44% best=20.44% std=14.6%
[DTPO] it=13/150 step=129987 J_new=0.0055 kept mode=leaf gate=accept cand=20.44% leaves=64 survival=20.44% best=20.44% std=14.6%
[DTPO] it=14/150 step=139986 J_new=0.0071 kept mode=leaf gate=revert(1) cand=11.20% leaves=64 survival=20.44% best=20.44% std=14.6%
[DTPO] it=15/150 step=149985 J_new=0.0050 kept mode=leaf gate=revert(2) cand=11.20% leaves=64 survival=20.44% best=20.44% std=14.6%
[DTPO] it=16/150 step=159984 J_new=0.0039 kept mode=full gate=accept cand=21.72% leaves=64 survival=21.72% best=21.72% std=20.0%
[DTPO] it=17/150 step=169983 J_new=0.0056 kept mode=leaf gate=revert(1) cand=19.73% leaves=64 survival=21.72% best=21.72% std=20.0%
[DTPO] it=18/150 step=179982 J_new=0.0039 kept mode=leaf gate=accept cand=30.42% leaves=64 survival=30.42% best=30.42% std=23.5%
[DTPO] it=19/150 step=189981 J_new=0.0053 kept mode=leaf gate=accept cand=35.83% leaves=64 survival=35.83% best=35.83% std=26.9%
[DTPO] it=20/150 step=199980 J_new=0.0057 kept mode=leaf gate=revert(1) cand=33.08% leaves=64 survival=35.83% best=35.83% std=26.9%
[DTPO] it=21/150 step=209979 J_new=0.0051 kept mode=full gate=revert(2) cand=10.58% leaves=64 survival=35.83% best=35.83% std=26.9%
[DTPO] it=22/150 step=219978 J_new=0.0035 kept mode=leaf gate=accept cand=57.11% leaves=64 survival=57.11% best=57.11% std=11.7%
