Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[HYBRID] warm-start from /rds/general/user/ssl125/home/RL2Grid_full/checkpoint/final_PPO_bus36-M_T_100_0__I__1784927195_14574.tar: {'mode': 'soft', 'n_samples': 14254, 'n_actions': 50, 'n_leaves': 32, 'max_depth': 12, 'fidelity': 0.9866704083064403, 'weighted_fidelity': 0.9991650359777677, 'curated': False, 'dagger_rounds': 0}
[DTPO] deterministic eval on 40 fixed chronics (of 2880): ids=[0, 73, 147, 221, 295, 369, 442, 516, 590, 664, 738, 812, 885, 959, 1033, 1107, 1181, 1254, 1328, 1402, 1476, 1550, 1624, 1697, 1771, 1845, 1919, 1993, 2066, 2140, 2214, 2288, 2362, 2436, 2509, 2583, 2657, 2731, 2805, 2879]
[DTPO] it=1/150 step=9999 J_new=-0.0034 revert mode=full gate=accept cand=19.23% leaves=32 survival=19.23% best=19.23% std=19.4%
[DTPO] it=2/150 step=19998 J_new=0.0003 kept mode=leaf gate=accept cand=26.57% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=3/150 step=29997 J_new=0.0006 kept mode=leaf gate=revert(1) cand=15.22% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=4/150 step=39996 J_new=0.0004 kept mode=leaf gate=revert(2) cand=23.43% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=5/150 step=49995 J_new=0.0001 kept mode=leaf gate=revert(3) cand=20.74% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=6/150 step=59994 J_new=0.0017 kept mode=full gate=revert(4) cand=23.34% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=7/150 step=69993 J_new=0.0002 kept mode=leaf gate=revert(5) cand=17.93% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=8/150 step=79992 J_new=0.0006 kept mode=leaf gate=revert(6) cand=19.27% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=9/150 step=89991 J_new=0.0006 kept mode=leaf gate=revert(7) cand=23.91% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=10/150 step=99990 J_new=0.0005 kept mode=leaf gate=revert(8) cand=21.11% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=11/150 step=109989 J_new=0.0016 kept mode=full gate=revert(9) cand=22.42% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=12/150 step=119988 J_new=0.0002 kept mode=leaf gate=revert(10) cand=25.77% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=13/150 step=129987 J_new=0.0003 kept mode=leaf gate=revert(11) cand=22.18% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=14/150 step=139986 J_new=0.0003 kept mode=leaf gate=revert(12) cand=24.56% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=15/150 step=149985 J_new=0.0003 kept mode=leaf gate=revert(13) cand=23.36% leaves=32 survival=26.57% best=26.57% std=28.0%
[DTPO] it=16/150 step=159984 J_new=0.0019 kept mode=full gate=accept cand=37.38% leaves=32 survival=37.38% best=37.38% std=29.9%
[DTPO] it=17/150 step=169983 J_new=0.0014 kept mode=leaf gate=accept cand=43.85% leaves=32 survival=43.85% best=43.85% std=29.1%
[DTPO] it=18/150 step=179982 J_new=0.0015 kept mode=leaf gate=revert(1) cand=11.77% leaves=32 survival=43.85% best=43.85% std=29.1%
[DTPO] it=19/150 step=189981 J_new=0.0006 kept mode=leaf gate=revert(2) cand=24.85% leaves=32 survival=43.85% best=43.85% std=29.1%
[DTPO] it=20/150 step=199980 J_new=0.0004 kept mode=leaf gate=revert(3) cand=26.78% leaves=32 survival=43.85% best=43.85% std=29.1%
[DTPO] it=21/150 step=209979 J_new=0.0014 kept mode=full gate=accept cand=54.69% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=22/150 step=219978 J_new=0.0016 kept mode=leaf gate=revert(1) cand=23.73% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=23/150 step=229977 J_new=0.0009 kept mode=leaf gate=revert(2) cand=18.84% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=24/150 step=239976 J_new=0.0011 kept mode=leaf gate=revert(3) cand=43.50% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=25/150 step=249975 J_new=0.0010 kept mode=leaf gate=revert(4) cand=21.36% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=26/150 step=259974 J_new=0.0012 kept mode=full gate=revert(5) cand=42.98% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=27/150 step=269973 J_new=0.0008 kept mode=leaf gate=revert(6) cand=31.22% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=28/150 step=279972 J_new=0.0005 kept mode=leaf gate=revert(7) cand=19.62% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=29/150 step=289971 J_new=0.0007 kept mode=leaf gate=revert(8) cand=13.47% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=30/150 step=299970 J_new=0.0008 kept mode=leaf gate=revert(9) cand=22.19% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=31/150 step=309969 J_new=0.0090 kept mode=full gate=revert(10) cand=54.54% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=32/150 step=319968 J_new=0.0010 kept mode=leaf gate=revert(11) cand=22.48% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=33/150 step=329967 J_new=0.0008 kept mode=leaf gate=revert(12) cand=45.40% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=34/150 step=339966 J_new=0.0006 kept mode=leaf gate=revert(13) cand=16.24% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=35/150 step=349965 J_new=0.0003 kept mode=leaf gate=revert(14) cand=20.92% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=36/150 step=359964 J_new=0.0014 kept mode=full gate=revert(15) cand=48.46% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=37/150 step=369963 J_new=-0.0001 revert mode=leaf gate=hold cand=54.69% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=38/150 step=379962 J_new=0.0002 kept mode=leaf gate=revert(16) cand=14.47% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=39/150 step=389961 J_new=0.0001 kept mode=leaf gate=revert(17) cand=22.45% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=40/150 step=399960 J_new=0.0001 kept mode=leaf gate=revert(18) cand=21.48% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=41/150 step=409959 J_new=0.0012 kept mode=full gate=revert(19) cand=30.33% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=42/150 step=419958 J_new=0.0000 kept mode=leaf gate=revert(20) cand=19.05% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=43/150 step=429957 J_new=0.0001 kept mode=leaf gate=revert(21) cand=19.27% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=44/150 step=439956 J_new=0.0002 kept mode=leaf gate=revert(22) cand=21.80% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=45/150 step=449955 J_new=0.0002 kept mode=leaf gate=revert(23) cand=24.12% leaves=32 survival=54.69% best=54.69% std=30.3%
[DTPO] it=46/150 step=459954 J_new=0.0010 kept mode=full gate=revert(24) cand=51.09% leaves=32 survival=54.69% best=54.69% std=30.3%
